IncidentNum,incident_type,vic_type,mo,weapon_used,gang_related
251200-2018,POSS CONT SUB PEN GRP 1 > OR EQUAL 4G<200G,Society/Public,A/P WAS IN POSSESION OF METHAMPHETAMINE,,
014414-2018,TRAF VIO -DRIV W/OUT LIC INV W/PREV CONV/SUSP/W/O FIN RES,Society/Public,AP WAS OPERATING A MOTOR VEHICLE WITH LIC SUSP,Other,No
052010-2018,PUBLIC INTOXICATION,Society/Public,SUSPECT WAS INTOXICATED IN PUBLIC ON AN UNKNOWN NARCOTIC,,
043596-2018,PUBLIC INTOXICATION,Government,AP INTOXICATED IN PUBLIC & A DANGER TO HIMSELF,,
148628-2018,FAIL TO ID -GIVING FALSE/FICTITIOUS INFO PC 38.02(c)(2),Government,AP GAVE OFFICERS FALSE IDENTIFICATION WHILE DETAINED.,,
005501-2018,POSS MARIJUANA <2OZ,Society/Public,AP WAS IN POSSESSION OF MARIJUANA,Other,No
093789-2018,DWI,Government,A/P ARRESTED FOR DWI,,
212940-2018,PUBLIC INTOXICATION,Government,AP WAS DETERMINED TO BE A DANGER TO HERSELF,,
136572-2018,DWI 2 OR MORE PREV CONV,Government,SUSPECT WAS DRIVING WHILE INTOXICATED.,,
219555-2018,DWI,Government,DWI,,
054336-2018,POSS MARIJUANA <2OZ,Society/Public,A/P WAS IN POSSESSION OF MARIJUANA,,
121834-2018,ASSAULT (AGG) -DEADLY WEAPON,Individual,SUSPECT HIT COMP WITH VEHICLE,Vehicle,UNK
165284-2018,OTHER OFFENSE - MISDEMEANOR,Society/Public,AP WAS IN POSSESSION OF A CRACK PIPE,,
043967-2018,PUBLIC INTOXICATION,Government,AP WAS DRINKING A OPEN CONTAINER OF ALCOHOL AND INTOXICATED.,,
139419-2018,POSS OF DANGEROUS DRUG,Society/Public,AP WAS IN POSS OF A PRESCRIPTION DRUG THAT WAS NOT HIS.,,
005143-2018,PUBLIC INTOXICATION,Government,PUBLIC INTOXICATION,Other,No
060530-2018,RESIST ARREST SEARCH OR TRANSPORT,Government,A/P ATTEMPTED TO FLEE A/OS DURING DETENTION,Personal Weapons (Hands-Feet ETC),G
132265-2018,POSS CONT SUB PEN GRP 1 <1G,Society/Public,AP WAS FOUND TO BE IN POSSESSION OF METHAMPHETAMINE.,,
203737-2018,PUBLIC INTOXICATION,Government,PUBLIC INTOXICATION,,
267935-2018,POSS CONT SUB PEN GRP 1 > OR EQUAL 1G<4G,Society/Public,A/P WAS IN POSSESSION OF METHAMPHETAMINE,,
079299-2018,PUBLIC INTOXICATION,Government,A/P WAS INTOXICATED IN A PUBLIC PLACE AND A DANGER TO HIMSELF,,
064681-2018,PUBLIC INTOXICATION,Society/Public,AP WAS INTOXICATED IN PUBLIC,,
263432-2018,DWI,Society/Public,THE ARRESTED PERSON WAS ARRESTED FOR DRIVING WHILE INTOXICATED.,,
067032-2018,PUBLIC INTOXICATION,Government,AP ARRESTED FOR PUBLIC INTOXICATION.,,
043548-2019,PUBLIC INTOXICATION,Society/Public,THE AP WAS INTOXICATED IN PUBLIC.,,
056726-2018,PUBLIC INTOXICATION,Government,A/P WAS INTOXICATED BY UNK MEANS IN A PUBLIC PLACE,,
012473-2018,PUBLIC INTOXICATION,Government,"SUSP INTOX IN PUBLIC, DANGER TO SELF.",Personal Weapons (Hands-Feet ETC),No
034508-2018,PUBLIC INTOXICATION,Society/Public,AP WAS DANGER TO HIMSELF DUE TO DRINKING ALCOHOLIC BEVERAGES,,
024596-2019,CRIMINAL TRESPASS,Business,CRIMINAL TRESPASS,,
156584-2016,PUBLIC INTOXICATION,Government,PUBLIC INTOXICATION-K2,Other,No
085691-2018,"THEFT OF PROP <$2,500 2+PREV CONV (SHOPLFT-NOT EMP) PC31.03(e4D)",Business,"A/P ENTERED BUSINESS, TOOK PROP WITHOUT CONSENT PASSED POS",,
226568-2018,PUBLIC INTOXICATION,Government,SUSPECT WAS INTOXICATED IN PUBLIC,,
097867-2018,UNLAWFUL CARRYING WEAPON,Society/Public,AP WAS CARRYING A WEAPON ON HIS PERSON.,Handgun,
184610-2018,PUBLIC INTOXICATION,Government,AP WAS INTOXCIATED,,
079342-2018,DWI,Society/Public,"A/P DRIVING A MOTOR VEHICLE WHILE INTOXICATED, CAUSED CRASH",,
210977-2018,PUBLIC INTOXICATION,Society/Public,PUBLIC INTOXICATION.,,
169534-2018,PUBLIC INTOXICATION,Government,PUBLIC INTOX,,
044952-2021,MAN DEL CONT SUB PEN GRP 1 > OR EQUAL 4G<200G,Society/Public,AP IN POSSESSION OF CRACK COCAINE.,,
036447-2018,PUBLIC INTOXICATION,Government,PUBLIC INTOXICATION,,
278946-2018,OTHER OFFENSE - MISDEMEANOR,Society/Public,"AP ARRESTED FOR TRESPASSING, SEARCH INCIDENT TO ARREST",,
216335-2018,PUBLIC INTOXICATION,Government,ARRESTED PERSON WAS INTOXICATED IN PUBLIC.,,
145608-2018,PUBLIC INTOXICATION,Society/Public,PUBLIC INTOXICATION,,
211045-2018,DWI,Society/Public,AP WAS INVOLVED IN AN ACCIDENT WHILE DRIVING WHILE INTOXICATED,,
012542-2021,PUBLIC INTOXICATION,Government,AP WAS INTOXICATED,,
156854-2016,PUBLIC INTOXICATION,Government,2 A/P'S FOUND UNCONSCIOUS/INTOXICATED,Other,No
053551-2018,MAN DEL CONT SUB PEN GRP 2 or 2-A > OR EQUAL 1G<4G,Society/Public,AP WAS IN POSSESSION OF A MORE THAN USER AMOUNT OF K2,,
015670-2018,PUBLIC INTOXICATION,Government,AP A DANGER TO SELF AND OTHERS DUE TO INTOXICATION,Other,No
230696-2018,INTOXICATION ASSAULT W/VEH SERIOUS BODILY INJURY,Individual,AP WAS ARRESTED FOR INTOXICATION ASSAULT.,,
052560-2018,POSS CONT SUB PEN GRP 1 <1G,Society/Public,AP IN POSSESSION OF COCAINE AT CARWASH,,
134783-2018,DWI,Government,AP WAS INTOXICATED WHILE DRIVING A CAR.,,
009139-2018,PUBLIC INTOXICATION,Government,AP WAS ARRESTED FOR PUBLIC INTOXICATION AND TRANSPORTED TO CDC.,Other,No
079073-2018,RESIST ARREST SEARCH OR TRANSPORT,Government,AP RESISTED ARREST,Personal Weapons (Hands-Feet ETC),UNK
225313-2018,PUBLIC INTOXICATION,Society/Public,AP WAS A DANGER TO HIMSELF AND OTHERS,,
033840-2018,PUBLIC INTOXICATION,Society/Public,AP WAS INTOXICATED IN PUBLIC PLACE,,
227825-2017,PUBLIC INTOXICATION,Government,A/P'S WERE INTOXICATED AT LOCATION,Other,No
221149-2018,PUBLIC INTOXICATION,Government,AP WAS ARRESTED FOR PUBLIC INTOXICATION,,
130523-2018,BOATING WHILE INTOX,Society/Public,AP WAS ARRESTED FOR BOATING WHILE INTOXICATED.,,
173345-2018,TRAFFIC VIOLATION - NON HAZARDOUS,Society/Public,AP DISREG A PAVEMENT MARKED ARROW TURNING WRONG WAY INTO TRAFF,,
202006-2018,PUBLIC INTOXICATION,Government,AP WAS INTOXICATED IN A PUBLIC PLACE,,
263999-2018,ASSAULT (AGG) FAM VIO SBI,Individual,SUSPECT PUNCHED (2) VICTIM  IN THE FACE CAUSING SRS BODILY INJURY,Personal Weapons (Hands-Feet ETC),UNK
177407-2018,CRIMINAL TRESPASS,Business,AP WAS TRESPASSING ON PROPERTY W/O CONSENT.,,
027505-2018,TRAF VIO -DRIV W/OUT LIC INV W/PREV CONV/SUSP/W/O FIN RES,Society/Public,AP WAS ARRESTED FOR DWLI W/PREV CONVICTION.,Other,No
216801-2019,PUBLIC INTOXICATION,Government,AP WAS PUBLICLY INTOXICATED,,
007554-2018,BURGLARY OF BUILDING - FORCED ENTRY,Government,KNOWN SUSPECT ENTERED BUILDING WITHOUT PERMISSION TAKING PROPERTY,Missile/Rock,No
099572-2018,TRAFFIC VIOLATION - NON HAZARDOUS,Society/Public,SUSPECT WAS DRIVING VEHICLE W/O DL.,,
092662-2018,PUBLIC INTOXICATION,Society/Public,PUBLIC INTOXICATION,,
236076-2018,POSS CONT SUB PEN GRP 1 <1G,Society/Public,A/P WAS IN POSSESSION OF MDMA (ECSTASY).,,
228341-2018,MAN DEL CONT SUB PEN GRP 1 > OR EQUAL 4G<200G,Society/Public,AP WAS ARRESTED FOR MAN/DEL OF COCAINE,,
187851-2018,POSS CONT SUB PEN GRP 1 <1G,Society/Public,AP WAS FOUND WITH A WHITE POWDER SUBSTANCE IN A CLEAR PLASTIC BAG,,
215687-2018,THEFT OF PROP > OR EQUAL $100 <$750 (SHOPLIFT-NOT EMP) PC31.03(e2A),Business,A/P TOOK PROPERTY WITHOUT PERMISISON,,
061329-2019,ASSAULT -VERBAL THREAT,Individual,AP THREATEN TO KILL COMPS,,UNK
230004-2018,PUBLIC INTOXICATION,Society/Public,A/P WAS INTOXICATED ON ALCOHOL AT THE TIME OF THE INCIDENT,,
064706-2018,DWI,Society/Public,THE A/P WAS PLACED UNDER ARREST FOR DWI.,,
013071-2018,FORGERY FINANCIAL INSTRUMENT,Financial Institutio,AP PRESENTED TWO FRAUDULENT CHECKS TO CASH FOR MONEY,Other,No
130782-2018,POSS MARIJUANA <2OZ,Society/Public,THE AP WAS IN POSSESSION OF <2 OZ OF MARIJUANA,,
214339-2018,THEFT OF PROP > OR EQUAL $100 <$750 (SHOPLIFT-NOT EMP) PC31.03(e2A),Business,SUSPECT TOOK COMPS PROPERTY WITHOUT PAYING FOR IT.,,
049997-2018,PUBLIC INTOXICATION,Society/Public,PUBLIC INTOXICATION,,
067109-2018,DWI,Society/Public,DWI/BLOOD REFUSAL,,
077528-2018,MAN DEL CONT SUB PEN GRP 2 or 2-A > OR EQUAL 1G<4G,Society/Public,"SUSPECT WAS OBSERVED SELLING ""K-2""",,
244925-2018,DWI 2 OR MORE PREV CONV,Society/Public,AP ARRESTED FOR DWI W TWO OR MORE PREV CONV,,
206354-2018,DWI,Society/Public,AP WAS INTOXICATED WHILE DRIVING A VEHICLE,,
066705-2018,PUBLIC INTOXICATION,Society/Public,PUBLIC INTOXICATION,,
210630-2018,PUBLIC INTOXICATION,Government,PUBLIC INTOXICATION,,
087196-2020,RESIST ARREST SEARCH OR TRANSPORT,Government,AP RESISTED ARREST,,
148130-2018,PUBLIC INTOXICATION,Government,PUBLIC INTOXICATION,,
060863-2018,PUBLIC INTOXICATION,Government,AP WAS INTOXICATED AND UNSAFE IN PUBLIC,,
092648-2018,PUBLIC INTOXICATION,Government,AP WAS INTOXICATED IN PUBLIC,,
181292-2018,DWI,Society/Public,AP WAS DRIVING WHILE INTOXICATED,,
101366-2018,PUBLIC INTOXICATION,Society/Public,AP WAS ARRESTED FOR PUBLIC INTOXICATION.,,
172902-2018,POSS MARIJUANA <2OZ *DRUG FREE ZONE*,Society/Public,ARRESTEE WAS FOUND TO BE IN POSSESSION OF MARIJUANA,,
211547-2018,POSS CONT SUB PEN GRP 1 <1G,Society/Public,THE ARRESTED PERSON WAS ARRESTED FOR POSSESSION OF COCAINE.,,
149544-2018,INTOX MANSLAUGHTER WITH VEHICLE,Individual,AP INJURED COMP WHILE DRIVING WHILE INTOXICATED,,
208062-2018,CRIMINAL TRESPASS,Business,AP RETURNED TO LOC AFTER BEING ISSUED A CT WARNING,,
226635-2018,DWI W/OPEN CONTAINER,Society/Public,A/P WAS DRIVING WHILE INTOXICATED IN A COMMERCIAL VEHICLE,,
127259-2018,POSS MARIJUANA >4OZ< OR EQUAL 5LBS,Society/Public,POSS OF MARIJUANA,,
135540-2018,DWI,Society/Public,AP WAS ARRESTED FOR DWI.,,
149088-2019,DWI W/OPEN CONTAINER,Government,A/P WAS DRIVING WHILE INTOXICATED,,
030862-2018,DWI,Society/Public,AP WAS DRIVING IMPAIRED,Other,No
129139-2018,PUBLIC INTOXICATION,Government,"ARRESTEE INTOXICATED FROM ALCOHOL, DANGER TO HIMSELF.",,
217279-2018,POSS MARIJUANA <2OZ,Society/Public,SUSP WAS IN POSSESSION OF LESS THAN 2OZ OF MARIJUANA,,
105954-2018,POSS MARIJUANA <2OZ,Society/Public,"POSSESSION OF MARIJUANA, CITE AND RELEASE",,
132073-2018,UNLAWFUL POSS FIREARM BY FELON,Society/Public,AP WAS IN POSSESSION OF A FIREARM WHILE BEING A CONV FELON,Handgun,
079537-2018,PUBLIC INTOXICATION,Government,AP WAS INTOXICATED IN A PUBLIC PLACE.,,
090331-2018,UNLAWFUL POSS FIREARM BY FELON,Society/Public,AP HAD A FIREARM ON HIS PERSON AT THE TIME OF ARREST,Handgun,
094496-2018,ASSAULT -BODILY INJURY ONLY,Individual,SUSPECT ASSAULTED COMP,Personal Weapons (Hands-Feet ETC),UNK
265713-2018,PUBLIC INTOXICATION,Society/Public,AP WAS FOUND TO BE INTOXICATED IN PUBLIC.,,
056928-2018,PUBLIC INTOXICATION,Government,A/P WAS INTOXICATED IN PUBLIC CAUSING A DISTURBANCE.,,
066256-2018,DWI,Society/Public,THE ARRESTED PERSON WAS ARRESTED FOR DRIVING WHILE INTOXICATED.,,
142607-2018,PUBLIC INTOXICATION,Government,PUBLIC INTOXICATED,,
092864-2018,DWI,Society/Public,DWI,,
191376-2018,"THEFT OF PROP <$2,500 2+CONV ENH (SHOPLIFT-NOT EMP) PC31.03(f)",Business,AP TOOK COMP'S PROPERTY WITHOUT PERMISSION,,
012308-2020,PUBLIC INTOXICATION,Society/Public,PUBLIC INTOXICATION.,,
107846-2017,PUBLIC INTOXICATION,Government,THE AP WAS INTOXICATED IN PUBLIC,Other,No
135821-2018,ASSAULT (AGG) -DEADLY WEAPON,Individual,A/P STABBED COMP IN THE NECK WITH A KNIFE.,Other Cutting Stabbing Inst.,UNK
014288-2018,FOUND PROPERTY (NO OFFENSE),Government,FOUND PROPERTY - TWO PIPES AND FAKE $100 BILL,Other,No
056205-2018,PUBLIC INTOXICATION,Government,AP WAS INTOXICATED IN PUBLIC,,
041806-2018,POSS CONT SUB PEN GRP 1 > OR EQUAL 4G<200G,Society/Public,A/P WAS FOUND TO HAVE PCP.,,
241817-2018,FRAUD USE/POSS IDENTIFYING INFO # ITEMS 50 OR MORE,Individual,A/P WAS IN POSSESSION OF OVER 50 IDENTIFIERS,,
131085-2018,PUBLIC INTOXICATION,Government,A/P WAS ARRESTED FOR PUBLIC INTOXICATION,,
210121-2018,PUBLIC INTOXICATION,Society/Public,AP WAS ARRESTED FOR PUBLIC INTOXICATION,,
000661-2020,PUBLIC INTOXICATION,Government,AP WAS INTOXICATED IN PUBLIC,,
205308-2017,PUBLIC INTOXICATION,Government,PUBLIC INTOXICATION A/P DANGER TO HIMSELF OR OTHERS,Other,No
055919-2020,EVADING ARREST DETENTION W/PREV CONVICTION PC38.04(b1),Society/Public,KNOWN SUSP EVADING FROM OFFICERS ON FOOT WITH A PRIOR CONVICTION,,
025146-2018,PUBLIC INTOXICATION,Society/Public,PUBLIC INTOXICATION,Other,No
143296-2018,DWI,Society/Public,DWI,,
235795-2018,PUBLIC INTOXICATION,Government,AP WAS INTOXICATED IN PUBLIC,,
211509-2018,DISCHARGE FIREARM IN CERTAIN MUNICIPALITIES,Society/Public,AP'S DISCHARGED FIREARM IN CITY LIMITS,Handgun,
255129-2018,DWI,Society/Public,AP WAS ARRESTED FOR SUSPICION OF DRIVING WHILE INTOXICATED,,
217021-2018,POSS MARIJUANA <2OZ,Society/Public,ARRESTEE C. RIOS WAS IN POSSESSION OF MARIJUANA < 2 OUNCES,,
147527-2018,UNLAWFUL CARRYING WEAPON,Society/Public,AP WAS IN POSSESION OF A FIREARM WHILE ALSO IN POSS OF MARIJUANA,Handgun,
181471-2018,POSS CONT SUB PEN GRP 1 <1G,Society/Public,AP WAS FOUND TO BE IN POSSESSION OF HEROIN.,,
180492-2018,VIO BOND/PROTECTIVE ORDER,Individual,AP VIOLATED A PROTECTION ORDER BY GOING NEAR THE COMP'S HOME.,,
074233-2018,FRAUD USE/POSS IDENTIFYING INFO # ITEMS 50 OR MORE,Government,AP WAS IN POSSESSION OF MULTIPLE IDENTIFIERS,,
079371-2018,EVADING ARREST DETENTION,Society/Public,AP EVADED ON FOOT,,
185508-2018,POSS CONT SUB PEN GRP 2 > OR EQUAL  1G<4G,Society/Public,A/P FOUND IN POSS OF MDMA,,
151096-2017,PUBLIC INTOXICATION,Government,PUBLIC INTOXICATION,Personal Weapons (Hands-Feet ETC),No
225275-2020,PUBLIC INTOXICATION,Government,ARRESTED PERSON WAS INTOXICATED IN PUBLIC.,,
165735-2018,PUBLIC INTOXICATION,Government,AP WAS OBSERVED PASSED OUT IN PARKING LOT HIGHLY INTOXICATED,,
158638-2018,ASSAULT (AGG) -DEADLY WEAPON,Individual,A/P STROKE THE COMP WITH A BAT CAUSING PAIN AND INJURY.,BlackJack/Club/Brick/Bat/Tire Iron,UNK
053516-2018,ASSAULT (AGG) -SERIOUS BODILY INJURY,Individual,SUSP HIT COMP IN THE FACE WITH A CHAIR.,Other,UNK
021173-2021,UNLAWFUL CARRYING WEAPON,Society/Public,AP WAS IN POSSESSION OF HANDGUN,Handgun,
206926-2018,POSS MARIJUANA <2OZ,Society/Public,ARRESTEE WAS FOUND TO BE IN POSSESSION OF MARIJUANA,,
212299-2018,PUBLIC INTOXICATION,Society/Public,A/P SMOKED K2 (SYNTHETIC MARIJ),,
080012-2018,PUBLIC INTOXICATION,Society/Public,A/P WAS INTOXICATED IN PUBLIC,,
035313-2018,PUBLIC INTOXICATION,Government,AP WAS ARRESTED FOR PUBLIC INTOXICATION,,
002024-2018,PUBLIC INTOXICATION,Government,PUBLIC INTOXICATION,Omission/Neglect,No
232781-2018,PUBLIC INTOXICATION,Society/Public,A/P WAS INTOXICATED IN PUBLIC AND WAS DANGER TO HERSELF OR OTHERS,,
124057-2018,DWI,Government,SUSPECT WAS DRIVING WHILE INTOXICATED,,
221163-2018,ASSAULT (AGG) -AGAINST SECURITY OFF (AGG),Individual,"AP USED HIS VEHICLE TO ASSAULT COMP, WHO IS A SECURITY GUARD",Motor Vehicle,UNK
128679-2018,PUBLIC INTOXICATION,Government,AP WAS INTOXICATED AND CAUSING A DISTURBANCE.,,
170846-2018,PUBLIC INTOXICATION,Government,AP WAS INTOXICATED IN PUBLIC AND WAS A DANGER TO HIMSELF OR OTHER,,
172737-2018,PUBLIC INTOXICATION,Government,ARRESTED PERSONS FOUND TO BE INTOXICATED,,
221081-2018,TRAF VIO -DRIV W/OUT LIC INV W/PREV CONV/SUSP/W/O FIN RES,Government,AP DRIVE WITH INVALID LICENSE,,
214027-2018,FAIL TO ID -GIVING FALSE/FICTITIOUS INFO PC 38.02(c)(2),Government,N,,
148628-2018,CRIMINAL TRESPASS,Business,AP CRIMINALLY TRESSPASSING ON PROPERTY.,,
043142-2018,UNLAWFUL POSS FIREARM BY FELON,Government,A/P POSSESSED FIREARM AS A CONVICTED FELON,Handgun,
165827-2018,ASSAULT (AGG) -DEADLY WEAPON,Individual,AP STABBED COMP IN THE STOMACH W BOX CUTTER,Other Cutting Stabbing Inst.,UNK
217066-2018,FRAUD USE/POSS IDENTIFYING INFO # ITEMS 10<50,Individual,AP WAS IN POSSESION OF OTHER PERSONS IDENTYFYING INFO,,
262753-2018,POSS CONT SUB PEN GRP 1 <1G,Society/Public,AP WAS IN POSSESSION OF METHEMPHETAMINE,,
210847-2018,POSS CONT SUB PEN GRP 1 <1G,Society/Public,AP WAS FOUND TO BE IN POSSESSION OF NARCOTICS,,
250502-2018,DWI 2 OR MORE PREV CONV,Government,ARRESTEE WAS INTOXICATED WHILE DRIVING ON A PUBLIC ROADWAY,,
102403-2018,PUBLIC INTOXICATION: MINOR 3RD ENH,Government,AP INTOXICATED IN PUBLIC.,,
197221-2018,THEFT OF SERVICE > OR EQUAL $100 <$750 PC31.04(e2),Business,KNOWN SUSP REFUSED TO PAY FOR SERVICES PROVIDED,,
172180-2018,POSS MARIJUANA <2OZ,Society/Public,POSS OF MARIJUANA,,
123220-2018,PUBLIC INTOXICATION,Society/Public,AP WAS ARRESTED FOR PUBLIC INTOXICATION,,
222643-2018,UNLAWFUL POSS FIREARM BY FELON,Society/Public,,Handgun,
182368-2018,PUBLIC INTOXICATION,Government,A/P WAS A DANGER TO HIMSELF AND OTHERS DUE TO BE INTOXICATED,,
130744-2018,DWI,Government,AP WAS INTOXICATED WHILE DRIVING A MOTOR VEHICLE,,
217370-2018,BURGLARY OF BUILDING - NO FORCED ENTRY,Business,"SUSP ENTERED CLOSED BUSINESS, DAMAGED PROPERTY W/O CONSENT",,
241956-2018,RECKLESS DAMAGE,Individual,SUSP BROKE COMP'S WINDOW WITH UNKNOWN OBJECT,,
253461-2018,THEFT OF PROP > OR EQUAL $100 <$750 (SHOPLIFT-NOT EMP) PC31.03(e2A),Business,SUSP TOOK ITEMS FROM INSIDE TARGET W/O OWNER CONSENT,,
186088-2018,OTHER OFFENSE - MISDEMEANOR,Society/Public,A/P LITTERED IN FRONT OF POLICE,,
246559-2018,RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),Society/Public,RECOVERED OUT OF TOWN STOLEN VEHICLE,,
046486-2018,THEFT OF PROP > OR EQUAL $100 <$750 (SHOPLIFT-NOT EMP) PC31.03(e2A),Business,AP STOLE PROPERTY FROM STORE.,,
085652-2017,DWI,Individual,INTOXICATED AP STRUCK COMP'S VEHICLE.,Other,No
066498-2019,PUBLIC INTOXICATION,Government,AP HAD WARRANTS,,
110743-2018,DWI,Government,ARRESTED PERSON OPERATED VEHICLE WHILE UNDER THE INFLUENCE,,
253042-2018,FAIL TO ID -GIVING FALSE/FICTITIOUS INFO PC 38.02(c)(2),Government,ARRESTED PERSON GAVE FICTICIOUS NAME AND DOB AFTER BEING ARRESTED,,
100762-2018,PUBLIC INTOXICATION,Government,THE A/P WAS INTOXICATED IN PUBLIC,,
221296-2018,"BMV <$1,500  2/MORE PREV CONV- (NOT EMPLOYEE)",Government,ARRESTEE TOOK PROPERTY FROM COMP'S VEHICLE WITHOUT CONSENT.,,
016611-2018,TERRORISTIC THREAT - FEAR IMMINENT SBI,Individual,UNK SUSP POINTED GUN AT COMP CAUSING HER TO FEAR FOR HER LIFE,Handgun,No
061507-2018,DWI,Society/Public,AP WAS ARRESTED FOR DWI.,,
177200-2018,POSS CONT SUB PEN GRP 2 > OR EQUAL  1G<4G,Society/Public,AP WAS IN POSSESION OF ECSTASY PILLS,,
051838-2018,ASSAULT (AGG) -DEADLY WEAPON,Individual,AP INTENTIONALLY HIT DROVE OVER COMP WITH VEH CAUSING SBI,Vehicle,UNK
274446-2018,CRIMINAL TRESPASS,Business,AP WAS ON PROPERTY AFTER WARNED NOT TO,,
079349-2018,PUBLIC INTOXICATION,Society/Public,BOTH A/PS WERE INTOXICATED IN PUBLIC,,
117707-2018,EVADING ARREST DETENTION W/PREV CONVICTION PC38.04(b1),Society/Public,AP EVADED DETENTION AND HAD A HANDGUN ON HIS PERSON,,
183885-2018,ASSAULT (AGG) -DEADLY WEAPON,Individual,AP POINTED GUN AT VIC AND STATED HE WOULD KILL HER,Handgun,UNK
089092-2018,PUBLIC INTOXICATION,Society/Public,AP WAS INTOXICATED IN PUBLIC,,
108676-2018,PUBLIC INTOXICATION,Society/Public,A/P WAS INTOXICATED AND IN A PUBLIC PLACE.,,
221641-2018,PUBLIC INTOXICATION,Society/Public,AP WAS FOUND INTOXICATED IN A PUBLIC ROADWAY.,,
199899-2017,PUBLIC INTOXICATION,Government,AP WAS FOUND TO BE A DANGER TO HIMSELF DUE TO HIS LEVEL OF INTOXI,Other,No
087259-2018,MAN DEL CONT SUB PEN GRP 1 > OR EQUAL 4G<200G,Society/Public,MAN/DEL HEROIN 16.5G,,
016259-2016,OBSTRUCTION OR RETALIATION,Individual,THE ARRESTED PERSON THREATENED TO KILL OFFICER,Threats,UNK
165528-2018,PUBLIC INTOXICATION,Government,PI,,
251019-2018,POSS CONT SUB PEN GRP 2-A < OR EQUAL 2 OZ,Society/Public,AP WAS IN POSSESSION OF SUSPECTED K2/SYNTHETIC CANNABINOID,,
234209-2018,PUBLIC INTOXICATION,Government,PUBLIC INTOXICATION,,
126609-2018,PUBLIC INTOXICATION,Government,AP WAS ARRESTED FOR PUBLIC INTOXICATION.,,
265020-2018,PUBLIC INTOXICATION,Society/Public,SUSP WAS UNDER THE INFLUENCE IN PUBLIC,,
050679-2018,POSS CONT SUB PEN GRP 1 > OR EQUAL 4G<200G,Society/Public,AP WAS IN POSSESSION OF ILLEGAL NARCOTICS AND STOLEN FIREARMS,,
118756-2018,POSS CONT SUB PEN GRP 1 > OR EQUAL 4G<200G,Society/Public,ARRESTEE WAS IN POSS OF METH.,,
211184-2018,ASSAULT -PUB SERV (NON LAW ENF) - BODILY INJURY ONLY,Individual,A/P KICKED OFFICER IN THE MOUTH WITH RT FOOT,Personal Weapons (Hands-Feet ETC),UNK
179024-2018,EVADING ARREST DETENTION W/PREV CONVICTION PC38.04(b1),Society/Public,SUSP WALKS AWAY FROM OFFICER WHEN TOLD TO STOP,,
271788-2018,RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),Government,AP WAS OBSERVED OPERATING A OUT OF TOWN STOLEN VEHICLE,,
008339-2018,PUBLIC INTOXICATION,Society/Public,PUBLIC INTOX,Other,No
243870-2018,UNLAWFUL POSS FIREARM BY FELON,Society/Public,NARCOTICS INVESTIGATION,Handgun,
147558-2018,DWI,Society/Public,A/P WAS DRIVING WHILE INTOXICATED.,,
044260-2018,DWI 1 PREV CONV,Society/Public,A/P WAS DRIVING WHILE INTOXICATED AND WAS INVOLVED IN A COLLISION,,
260597-2018,PUBLIC INTOXICATION,Government,SUSP WAS INTOXICATED IN PUBLIC,,
136476-2018,CRIMINAL TRESPASS,Business,CRIMINAL TRESPASS,,
081259-2018,CRIMINAL TRESPASS,Business,AP REFUSED TO LEAVE LOCATION WHEN ADVISED BY RP,,
049873-2018,POSS MARIJUANA <2OZ,Society/Public,SUSP WAS FOUND TO BE IN POSSESSION OF MARIJUANA,,
214981-2018,PUBLIC INTOXICATION,Government,AP ROQUEMORE INTOXICATED UNABLE TO CARE FOR SELF IN PUBLIC.,,
002462-2019,OTHER OFFENSE - MISDEMEANOR,Government,SUSP WAS IN POSSESSION OF DRUG PARAPHERNALIA.,,
248773-2018,RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),Government,RECOVERED OUT OF TOWN STOLEN VEHICLE,,
060835-2018,RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),Government,OPERATING A VEHICLE W/O CONSENT,,
083692-2018,POSS CONT SUB PEN GRP 1 <1G,Society/Public,AP IN POSS OF COCAINE,,
272243-2018,POSS MARIJUANA <2OZ,Society/Public,A/P WAS IN POSSESSION OF ???G OF MARIJUANA,,
240444-2018,OTHER OFFENSE - MISDEMEANOR,Society/Public,AP HAD A CRACK PIPE IN HIS POSSESSION.,,
072387-2018,DWI,Society/Public,AP DROVE A MOTOR VEHICLE WHILE INTOXICATED.,,
123883-2018,EVADING ARREST DETENTION,Society/Public,AP EVADED LAWFUL ARREST FOR CRIMINAL TRESPASS,,
171816-2018,POSS MARIJUANA <2OZ,Society/Public,SUSP POSSESSED MARIJUANA,,
248072-2019,CRIMINAL TRESPASS,Business,AP WAS CRIMINALLY TRESPASSING ON LOCATION,,
005099-2018,PUBLIC INTOXICATION,Business,ARRESTEE WAS A DANGER TO HERSELF DUE TO INTOXICATION.  NFI.,Other,No
070126-2018,PUBLIC INTOXICATION,Government,ARRESTEES FOUND TO BE INTOXICATED,,
016433-2021,PUBLIC INTOXICATION,Government,A/P WAS INTOXICATED ON A PUBLIC SIDEWALK AND WAS A DANGER TO SELF,,
259116-2018,UNLAWFUL CARRYING WEAPON,Society/Public,AP HAD SILVER HANDGUN IN LEFT INSIDE POCKET.,None (Mutually Exclusive),
